,Signal_Description
DISTURBANCE (DOMESTIC),5938
SIMPLE BURGLARY (VEHICLE),5559
AUTO THEFT,3508
THEFT,2659
SIMPLE CRIMINAL DAMAGE,2475
DISTURBANCE,2386
SIMPLE BATTERY (DOMESTIC),2223
LOST PROPERTY,1856
SIMPLE BATTERY,1707
THEFT BY FRAUD,1488
